# background genes,# genes,category,chart color,description,FDR value,genes,network.SUID,nodes.SUID,p-value,PMID,term name,transferred FDR value,year,FDR (-log10)
434,9,GO Molecular Function,,Protein serine/threonine kinase activity,5.21E-06,CSNK2A1|CDK2|PLK1|PRKACA|BMPR1A|CDK1|BMPR1B|ACVR1|AKT1,10163,10306|10303|10297|10261|10300|10327|10294|10279|10330,6.34E-09,,GO:0004674,0.528316228,0,5.283162277
299,8,GO Molecular Function,,Ubiquitin protein ligase binding,5.25E-06,STUB1|SMAD2|TP53|PRKACA|SMAD3|SKI|SUMO2|SMAD5,10163,10315|10267|10291|10261|10252|10270|10273|10258,7.45E-09,,GO:0031625,0.52798407,0,5.279840697
988,11,GO Biological Process,,Regulation of catabolic process,5.32E-06,CSNK2A1|STUB1|CDK2|TP53|PLK1|PRKACA|CASP3|SMAD3|E2F1|SUMO2|AKT1,10163,10306|10315|10303|10291|10297|10261|10333|10252|10264|10273|10330,5.16E-08,,GO:0009894,0.527408837,0,5.274088368
250,7,GO Biological Process,,Cell fate commitment,5.64E-06,SMAD2|TP53|SMAD1|CASP3|ACVR1|SMAD5|CTNNB1,10163,10267|10291|10282|10333|10279|10258|10285,5.50E-08,,GO:0045165,0.52487209,0,5.248720896
2542,16,TISSUES,,Organism form,5.66E-06,STUB1|RBL2|SMAD2|CDK2|TP53|PLK1|CEBPB|CASP3|SMAD3|MYB|BMPR1A|CDK1|ACVR1|AKT1|MYC|CTNNB1,10163,10315|10276|10267|10303|10291|10297|10312|10333|10252|10288|10300|10327|10279|10330|10318|10285,3.97E-08,,BTO:0000284,0.524718357,0,5.247183569
8,4,InterPro Domains,,"SMAD domain, Dwarfin-type",5.72E-06,SMAD2|SMAD1|SMAD3|SMAD5,10163,10267|10282|10252|10258,1.59E-09,,IPR001132,0.524260397,0,5.242603971
8,4,InterPro Domains,,"MAD homology, MH1",5.72E-06,SMAD2|SMAD1|SMAD3|SMAD5,10163,10267|10282|10252|10258,1.59E-09,,IPR013019,0.524260397,0,5.242603971
8,4,InterPro Domains,,Dwarfin,5.72E-06,SMAD2|SMAD1|SMAD3|SMAD5,10163,10267|10282|10252|10258,1.59E-09,,IPR013790,0.524260397,0,5.242603971
382,9,InterPro Domains,,"Protein kinase, ATP binding site",5.72E-06,CSNK2A1|CDK2|PLK1|PRKACA|BMPR1A|CDK1|BMPR1B|ACVR1|AKT1,10163,10306|10303|10297|10261|10300|10327|10294|10279|10330,2.13E-09,,IPR017441,0.524260397,0,5.242603971
8,4,InterPro Domains,,SMAD MH1 domain superfamily,5.72E-06,SMAD2|SMAD1|SMAD3|SMAD5,10163,10267|10282|10252|10258,1.59E-09,,IPR036578,0.524260397,0,5.242603971
997,11,GO Biological Process,,Animal organ morphogenesis,5.76E-06,SMAD2|TP53|CEBPB|SMAD3|BMPR1A|SKI|E2F4|BMPR1B|ACVR1|MYC|CTNNB1,10163,10267|10291|10312|10252|10300|10270|10321|10294|10279|10318|10285,5.65E-08,,GO:0009887,0.523957752,0,5.239577517
5278,22,UniProt Keywords,,Nucleus,5.77E-06,CSNK2A1|STUB1|RBL2|SMAD2|RCOR1|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|SMAD3|MYB|E2F1|SKI|E2F4|CDK1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10276|10267|10324|10303|10291|10297|10312|10282|10261|10252|10288|10264|10270|10321|10327|10273|10258|10330|10318|10285,1.72E-08,,KW-0539,0.523882419,0,5.238824187
393,8,GO Biological Process,,In utero embryonic development,5.99E-06,SMAD2|TP53|CEBPB|SMAD3|BMPR1A|ACVR1|AKT1|CTNNB1,10163,10267|10291|10312|10252|10300|10279|10330|10285,5.92E-08,,GO:0001701,0.522257318,0,5.222573178
12,4,InterPro Domains,,"MAD homology 1, Dwarfin-type",5.99E-06,SMAD2|SMAD1|SMAD3|SMAD5,10163,10267|10282|10252|10258,5.84E-09,,IPR003619,0.522257318,0,5.222573178
3309,18,COMPARTMENTS,,Intracellular non-membrane-bounded organelle,6.29E-06,CSNK2A1|RBL2|SMAD2|CASP6|CDK2|TP53|PLK1|PRKACA|CASP3|SMAD3|MYB|E2F1|SKI|E2F4|CDK1|AKT1|MYC|CTNNB1,10163,10306|10276|10267|10309|10303|10291|10297|10261|10333|10252|10288|10264|10270|10321|10327|10330|10318|10285,2.73E-08,,GOCC:0043232,0.520134935,0,5.201349355
462,9,GO Molecular Function,,DNA-binding transcription activator activity,6.65E-06,SMAD2|TP53|CEBPB|SMAD1|SMAD3|MYB|E2F1|E2F4|MYC,10163,10267|10291|10312|10282|10252|10288|10264|10321|10318,1.08E-08,,GO:0001216,0.517717835,0,5.177178355
7242,25,GO Molecular Function,,Protein binding,6.80E-06,CSNK2A1|STUB1|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10264|10300|10270|10321|10327|10294|10279|10273|10258|10330|10318|10285,1.24E-08,,GO:0005515,0.516749109,0,5.167491087
1023,11,GO Biological Process,,Developmental process involved in reproduction,7.28E-06,CYP27B1|CEBPB|PRKACA|CASP3|E2F1|BMPR1A|BMPR1B|ACVR1|SMAD5|AKT1|CTNNB1,10163,10255|10312|10261|10333|10264|10300|10294|10279|10258|10330|10285,7.33E-08,,GO:0003006,0.513786862,0,5.137868621
789,10,GO Biological Process,,Regulation of cellular catabolic process,7.49E-06,CSNK2A1|STUB1|CDK2|TP53|PLK1|PRKACA|CASP3|E2F1|SUMO2|AKT1,10163,10306|10315|10303|10291|10297|10261|10333|10264|10273|10330,7.59E-08,,GO:0031329,0.512551818,0,5.125518182
36,4,WikiPathways,,Ovarian infertility,7.71E-06,CEBPB|SMAD3|BMPR1B|AKT1,10163,10312|10252|10294|10330,2.86E-07,,WP34,0.511294562,0,5.112945622
2674,16,GO Biological Process,,Protein modification process,8.00E-06,CSNK2A1|STUB1|SMAD2|RCOR1|CDK2|PLK1|SMAD1|PRKACA|BMPR1A|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|CTNNB1,10163,10306|10315|10267|10324|10303|10297|10282|10261|10300|10327|10294|10279|10273|10258|10330|10285,8.16E-08,,GO:0036211,0.509691001,0,5.096910013
1041,11,GO Biological Process,,Apoptotic process,8.51E-06,CSNK2A1|CASP6|TP53|CEBPB|CASP3|SMAD3|E2F1|CDK1|AKT1|MYC|CTNNB1,10163,10306|10309|10291|10312|10333|10252|10264|10327|10330|10318|10285,8.74E-08,,GO:0006915,0.507007044,0,5.07007044
11025,28,GO Biological Process,,Regulation of cellular process,8.61E-06,CSNK2A1|STUB1|CYP27B1|RBL2|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10255|10276|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10288|10264|10300|10270|10321|10327|10294|10279|10273|10258|10330|10318|10285,8.90E-08,,GO:0050794,0.506499685,0,5.064996849
269,7,GO Biological Process,,Muscle cell differentiation,8.62E-06,CASP3|BMPR1A|SKI|CDK1|ACVR1|AKT1|CTNNB1,10163,10333|10300|10270|10327|10279|10330|10285,8.96E-08,,GO:0042692,0.506449273,0,5.064492734
76,5,GO Biological Process,,Embryonic pattern specification,8.99E-06,SMAD2|SMAD1|SMAD3|SMAD5|CTNNB1,10163,10267|10282|10252|10258|10285,9.40E-08,,GO:0009880,0.504624031,0,5.046240308
275,7,GO Biological Process,,Regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,9.80E-06,STUB1|SMAD2|TP53|SMAD3|BMPR1A|SKI|ACVR1,10163,10315|10267|10291|10252|10300|10270|10279,1.04E-07,,GO:0090092,0.500877392,0,5.008773924
7156,24,GO Biological Process,,Primary metabolic process,9.89E-06,CSNK2A1|STUB1|CYP27B1|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|E2F1|BMPR1A|SKI|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|CTNNB1,10163,10306|10315|10255|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10264|10300|10270|10327|10294|10279|10273|10258|10330|10285,1.05E-07,,GO:0044238,0.500480371,0,5.004803708
78,5,GO Biological Process,,Peptidyl-threonine phosphorylation,9.92E-06,CSNK2A1|PRKACA|CDK1|ACVR1|AKT1,10163,10306|10261|10327|10279|10330,1.06E-07,,GO:0018107,0.500348833,0,5.003488328
120,5,KEGG Pathways,,Thyroid hormone signaling pathway,1.07E-05,TP53|PRKACA|AKT1|MYC|CTNNB1,10163,10291|10261|10330|10318|10285,8.24E-07,,hsa04919,0.497061622,0,4.970616222
5977,23,GO Molecular Function,,Heterocyclic compound binding,1.09E-05,CSNK2A1|CYP27B1|RBL2|SMAD2|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC,10163,10306|10255|10276|10267|10303|10291|10297|10312|10282|10261|10252|10288|10264|10300|10270|10321|10327|10294|10279|10273|10258|10330|10318,2.22E-08,,GO:1901363,0.49625735,0,4.962573502
7988,25,GO Biological Process,,Metabolic process,1.11E-05,CSNK2A1|STUB1|CYP27B1|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|E2F1|BMPR1A|SKI|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10255|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10264|10300|10270|10327|10294|10279|10273|10258|10330|10318|10285,1.21E-07,,GO:0008152,0.495467702,0,4.954677021
80,5,GO Biological Process,,Regulation of bone mineralization,1.11E-05,CYP27B1|SMAD3|BMPR1A|BMPR1B|ACVR1,10163,10255|10252|10300|10294|10279,1.20E-07,,GO:0030500,0.495467702,0,4.954677021
164,6,GO Biological Process,,Regulation of G1/S transition of mitotic cell cycle,1.11E-05,RBL2|CDK2|TP53|E2F1|ACVR1|AKT1,10163,10276|10303|10291|10264|10279|10330,1.21E-07,,GO:2000045,0.495467702,0,4.954677021
15,4,InterPro Domains,,SMAD-like domain superfamily,1.11E-05,SMAD2|SMAD1|SMAD3|SMAD5,10163,10267|10282|10252|10258,1.24E-08,,IPR017855,0.495467702,0,4.954677021
617,9,GO Biological Process,,Epithelial cell differentiation,1.12E-05,CASP6|CEBPB|CASP3|SMAD3|E2F4|CDK1|ACVR1|AKT1|CTNNB1,10163,10309|10312|10333|10252|10321|10327|10279|10330|10285,1.24E-07,,GO:0030855,0.495078198,0,4.950781977
28,4,Reactome Pathways,,G1/S-Specific Transcription,1.12E-05,RBL2|E2F1|E2F4|CDK1,10163,10276|10264|10321|10327,1.14E-07,,HSA-69205,0.495078198,0,4.950781977
702,10,GO Molecular Function,,Protein kinase binding,1.15E-05,TP53|PLK1|SMAD1|PRKACA|SMAD3|E2F1|SKI|ACVR1|AKT1|CTNNB1,10163,10291|10297|10282|10261|10252|10264|10270|10279|10330|10285,2.56E-08,,GO:0019901,0.493930216,0,4.93930216
1290,12,GO Cellular Component,,Nuclear protein-containing complex,1.16E-05,CSNK2A1|SMAD2|RCOR1|CEBPB|SMAD1|SMAD3|MYB|E2F1|E2F4|SMAD5|MYC|CTNNB1,10163,10306|10267|10324|10312|10282|10252|10288|10264|10321|10258|10318|10285,7.34E-08,,GO:0140513,0.493554201,0,4.935542011
2370,15,GO Biological Process,,Regulation of catalytic activity,1.18E-05,CSNK2A1|STUB1|CYP27B1|RBL2|CASP6|TP53|PLK1|CASP3|SMAD3|BMPR1A|SKI|BMPR1B|AKT1|MYC|CTNNB1,10163,10306|10315|10255|10276|10309|10291|10297|10333|10252|10300|10270|10294|10330|10318|10285,1.32E-07,,GO:0050790,0.492811799,0,4.928117993
6050,23,GO Molecular Function,,Organic cyclic compound binding,1.18E-05,CSNK2A1|CYP27B1|RBL2|SMAD2|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC,10163,10306|10255|10276|10267|10303|10291|10297|10312|10282|10261|10252|10288|10264|10300|10270|10321|10327|10294|10279|10273|10258|10330|10318,2.86E-08,,GO:0097159,0.492811799,0,4.928117993
167,6,GO Biological Process,,Negative regulation of mitotic cell cycle phase transition,1.19E-05,RBL2|CDK2|TP53|PLK1|CDK1|ACVR1,10163,10276|10303|10291|10297|10327|10279,1.34E-07,,GO:1901991,0.492445304,0,4.924453039
83,5,GO Biological Process,,Dorsal/ventral pattern formation,1.26E-05,SMAD2|BMPR1A|BMPR1B|ACVR1|CTNNB1,10163,10267|10300|10294|10279|10285,1.43E-07,,GO:0009953,0.489962945,0,4.899629455
126,5,KEGG Pathways,,FoxO signaling pathway,1.29E-05,RBL2|CDK2|PLK1|SMAD3|AKT1,10163,10276|10303|10297|10252|10330,1.04E-06,,hsa04068,0.488941029,0,4.88941029
486,9,InterPro Domains,,Protein kinase domain,1.32E-05,CSNK2A1|CDK2|PLK1|PRKACA|BMPR1A|CDK1|BMPR1B|ACVR1|AKT1,10163,10306|10303|10297|10261|10300|10327|10294|10279|10330,1.66E-08,,IPR000719,0.487942607,0,4.879426069
291,7,GO Biological Process,,Response to decreased oxygen levels,1.33E-05,STUB1|TP53|CASP3|SMAD3|E2F1|AKT1|MYC,10163,10315|10291|10333|10252|10264|10330|10318,1.51E-07,,GO:0036293,0.487614836,0,4.876148359
173,6,GO Biological Process,,Mitotic cell cycle phase transition,1.44E-05,CDK2|PLK1|E2F1|E2F4|CDK1|MYC,10163,10303|10297|10264|10321|10327|10318,1.64E-07,,GO:0044772,0.484163751,0,4.841637508
173,6,GO Biological Process,,Regulation of ubiquitin-dependent protein catabolic process,1.44E-05,CSNK2A1|STUB1|CDK2|PLK1|SUMO2|AKT1,10163,10306|10315|10303|10297|10273|10330,1.64E-07,,GO:2000058,0.484163751,0,4.841637508
77,5,GO Cellular Component,,Transcription repressor complex,1.46E-05,RCOR1|TP53|SKI|MYC|CTNNB1,10163,10324|10291|10270|10318|10285,1.00E-07,,GO:0017053,0.483564714,0,4.835647144
1108,11,Reactome Pathways,,Developmental Biology,1.49E-05,CSNK2A1|SMAD2|CDK2|CEBPB|PRKACA|SMAD3|MYB|E2F1|AKT1|MYC|CTNNB1,10163,10306|10267|10303|10312|10261|10252|10288|10264|10330|10318|10285,1.64E-07,,HSA-1266738,0.482681373,0,4.826813732
454,8,GO Biological Process,,Embryonic organ development,1.52E-05,SMAD2|TP53|CEBPB|SMAD3|BMPR1A|ACVR1|AKT1|CTNNB1,10163,10267|10291|10312|10252|10300|10279|10330|10285,1.75E-07,,GO:0048568,0.481815641,0,4.818156412
175,6,Reactome Pathways,,Apoptosis,1.54E-05,CASP6|TP53|CASP3|E2F1|AKT1|CTNNB1,10163,10309|10291|10333|10264|10330|10285,1.75E-07,,HSA-109581,0.481247928,0,4.812479279
113,5,WikiPathways,,Gastrin signaling pathway,1.60E-05,PRKACA|CASP3|AKT1|MYC|CTNNB1,10163,10261|10333|10330|10318|10285,6.19E-07,,WP4659,0.479588002,0,4.795880017
218,6,WikiPathways,,Network map of SARS-CoV-2 signaling pathway,1.60E-05,CEBPB|SMAD1|CASP3|CDK1|SMAD5|AKT1,10163,10312|10282|10333|10327|10258|10330,6.13E-07,,WP5115,0.479588002,0,4.795880017
6643,23,GO Biological Process,,Nitrogen compound metabolic process,1.69E-05,CSNK2A1|STUB1|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|E2F1|BMPR1A|SKI|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|CTNNB1,10163,10306|10315|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10264|10300|10270|10327|10294|10279|10273|10258|10330|10285,1.99E-07,,GO:0006807,0.47721133,0,4.772113295
89,5,GO Biological Process,,Regulation of fibroblast proliferation,1.69E-05,TP53|E2F1|SKI|MYC|CTNNB1,10163,10291|10264|10270|10318|10285,1.99E-07,,GO:0048145,0.47721133,0,4.772113295
4,3,COMPARTMENTS,,Homomeric SMAD protein complex,1.71E-05,SMAD2|SMAD1|SMAD3,10163,10267|10282|10252,8.93E-08,,GOCC:0071142,0.476700389,0,4.76700389
10,3,WikiPathways,,Mammary gland development pathway - Involution (Stage 4 of 4),1.77E-05,TP53|E2F1|MYC,10163,10291|10264|10318,7.25E-07,,WP2815,0.475202673,0,4.752026734
117,5,WikiPathways,,Osteoblast differentiation and related diseases,1.77E-05,SMAD1|BMPR1A|BMPR1B|SMAD5|CTNNB1,10163,10282|10300|10294|10258|10285,7.31E-07,,WP4787,0.475202673,0,4.752026734
885,10,GO Biological Process,,Sexual reproduction,1.84E-05,PLK1|SMAD1|PRKACA|E2F1|CDK1|BMPR1B|ACVR1|SMAD5|AKT1|CTNNB1,10163,10297|10282|10261|10264|10327|10294|10279|10258|10330|10285,2.19E-07,,GO:0019953,0.473518218,0,4.735182177
137,5,KEGG Pathways,,Measles,1.86E-05,CSNK2A1|CDK2|TP53|CASP3|AKT1,10163,10306|10303|10291|10333|10330,1.55E-06,,hsa05162,0.473048706,0,4.730487056
1146,11,GO Biological Process,,Positive regulation of gene expression,1.91E-05,SMAD2|TP53|CEBPB|SMAD1|SMAD3|E2F1|BMPR1A|CDK1|AKT1|MYC|CTNNB1,10163,10267|10291|10312|10282|10252|10264|10300|10327|10330|10318|10285,2.29E-07,,GO:0010628,0.471896663,0,4.718966633
5,3,TISSUES,,HT-29 cell,1.92E-05,TP53|CASP3|AKT1,10163,10291|10333|10330,1.43E-07,,BTO:0000182,0.471669877,0,4.716698771
5,3,TISSUES,,Vas efferens,1.92E-05,TP53|CASP3|MYC,10163,10291|10333|10318,1.43E-07,,BTO:0002254,0.471669877,0,4.716698771
2101,14,GO Biological Process,,Gene expression,1.97E-05,STUB1|SMAD2|CASP6|CDK2|TP53|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|E2F1|SKI|AKT1|CTNNB1,10163,10315|10267|10309|10303|10291|10312|10282|10261|10333|10252|10264|10270|10330|10285,2.37E-07,,GO:0010467,0.470553377,0,4.705533774
58,4,KEGG Pathways,,Endometrial cancer,1.98E-05,TP53|AKT1|MYC|CTNNB1,10163,10291|10330|10318|10285,1.71E-06,,hsa05213,0.470333481,0,4.70333481
899,10,GO Biological Process,,Negative regulation of gene expression,2.09E-05,RBL2|SMAD2|RCOR1|TP53|SMAD1|SMAD3|BMPR1A|CDK1|AKT1|CTNNB1,10163,10276|10267|10324|10291|10282|10252|10300|10327|10330|10285,2.53E-07,,GO:0010629,0.467985371,0,4.679853714
315,7,GO Biological Process,,Epithelial tube morphogenesis,2.09E-05,PRKACA|CASP3|SMAD3|SKI|ACVR1|MYC|CTNNB1,10163,10261|10333|10252|10270|10279|10318|10285,2.55E-07,,GO:0060562,0.467985371,0,4.679853714
35,4,Reactome Pathways,,Regulation of TP53 Degradation,2.18E-05,CDK2|TP53|CDK1|AKT1,10163,10303|10291|10327|10330,2.58E-07,,HSA-6804757,0.466154351,0,4.661543506
318,7,GO Biological Process,,Apoptotic signaling pathway,2.21E-05,CASP6|TP53|CEBPB|CASP3|SMAD3|E2F1|CTNNB1,10163,10309|10291|10312|10333|10252|10264|10285,2.72E-07,,GO:0097190,0.465560773,0,4.655607726
3358,17,GO Biological Process,,Response to stress,2.25E-05,STUB1|CYP27B1|SMAD2|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|E2F1|CDK1|BMPR1B|ACVR1|AKT1|MYC,10163,10315|10255|10267|10303|10291|10297|10312|10282|10261|10333|10252|10264|10327|10294|10279|10330|10318,2.80E-07,,GO:0006950,0.464781748,0,4.647817482
2131,14,GO Biological Process,,Positive regulation of response to stimulus,2.26E-05,CSNK2A1|CYP27B1|SMAD2|CASP6|TP53|CEBPB|SMAD3|MYB|BMPR1A|SKI|BMPR1B|ACVR1|MYC|CTNNB1,10163,10306|10255|10267|10309|10291|10312|10252|10288|10300|10270|10294|10279|10318|10285,2.83E-07,,GO:0048584,0.464589156,0,4.645891561
912,10,GO Biological Process,,Regulation of transferase activity,2.29E-05,STUB1|RBL2|TP53|PLK1|CASP3|BMPR1A|BMPR1B|AKT1|MYC|CTNNB1,10163,10315|10276|10291|10297|10333|10300|10294|10330|10318|10285,2.88E-07,,GO:0051338,0.464016452,0,4.640164518
36,4,Reactome Pathways,,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,2.34E-05,SMAD2|SMAD3|E2F4|MYC,10163,10267|10252|10321|10318,2.86E-07,,HSA-2173796,0.463078414,0,4.630784143
685,9,GO Biological Process,,Negative regulation of cell differentiation,2.35E-05,TP53|SMAD1|SMAD3|MYB|E2F1|BMPR1A|SKI|MYC|CTNNB1,10163,10291|10282|10252|10288|10264|10300|10270|10318|10285,2.97E-07,,GO:0045596,0.462893214,0,4.628932138
146,5,KEGG Pathways,,Breast cancer,2.35E-05,TP53|E2F1|AKT1|MYC|CTNNB1,10163,10291|10264|10330|10318|10285,2.10E-06,,hsa05224,0.462893214,0,4.628932138
7,3,GO Biological Process,,SMAD protein complex assembly,2.39E-05,SMAD2|SMAD1|SMAD3,10163,10267|10282|10252,3.05E-07,,GO:0007183,0.46216021,0,4.621602099
193,6,GO Biological Process,,Peptidyl-serine phosphorylation,2.39E-05,CSNK2A1|CDK2|PLK1|PRKACA|CDK1|AKT1,10163,10306|10303|10297|10261|10327|10330,3.06E-07,,GO:0018105,0.46216021,0,4.621602099
7522,24,GO Biological Process,,Organic substance metabolic process,2.42E-05,CSNK2A1|STUB1|CYP27B1|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|E2F1|BMPR1A|SKI|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|CTNNB1,10163,10306|10315|10255|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10264|10300|10270|10327|10294|10279|10273|10258|10330|10285,3.12E-07,,GO:0071704,0.461618463,0,4.616184634
530,9,InterPro Domains,,Protein kinase-like domain superfamily,2.48E-05,CSNK2A1|CDK2|PLK1|PRKACA|BMPR1A|CDK1|BMPR1B|ACVR1|AKT1,10163,10306|10303|10297|10261|10300|10327|10294|10279|10330,3.45E-08,,IPR011009,0.460554832,0,4.605548319
196,6,GO Biological Process,,Regulation of proteasomal protein catabolic process,2.58E-05,STUB1|CDK2|PLK1|PRKACA|SUMO2|AKT1,10163,10315|10303|10297|10261|10273|10330,3.34E-07,,GO:0061136,0.458838029,0,4.588380294
6,3,TISSUES,,HeLa cell,2.59E-05,TP53|CASP3|MYC,10163,10291|10333|10318,2.14E-07,,BTO:0000567,0.458670024,0,4.586700236
12,3,WikiPathways,,Bone morphogenic protein signaling and regulation,2.60E-05,SMAD1|BMPR1A|BMPR1B,10163,10282|10300|10294,1.15E-06,,WP1425,0.458502665,0,4.585026652
52,4,WikiPathways,,NRP1-triggered signaling pathways in pancreatic cancer ,2.60E-05,SMAD2|CDK2|SMAD3|AKT1,10163,10267|10303|10252|10330,1.13E-06,,WP5144,0.458502665,0,4.585026652
197,6,Reactome Pathways,,Mitotic G2-G2/M phases,2.62E-05,CDK2|TP53|PLK1|PRKACA|E2F1|CDK1,10163,10303|10291|10297|10261|10264|10327,3.44E-07,,HSA-453274,0.458169871,0,4.581698709
102,5,GO Biological Process,,Microtubule organizing center organization,2.92E-05,CDK2|PLK1|E2F4|CDK1|CTNNB1,10163,10303|10297|10321|10327|10285,3.80E-07,,GO:0031023,0.453461715,0,4.534617149
584,9,GO Molecular Function,,Chromatin binding,2.92E-05,RBL2|SMAD2|RCOR1|TP53|CEBPB|SMAD3|E2F4|CDK1|CTNNB1,10163,10276|10267|10324|10291|10312|10252|10321|10327|10285,7.82E-08,,GO:0003682,0.453461715,0,4.534617149
3910,18,GO Biological Process,,Protein metabolic process,2.96E-05,CSNK2A1|STUB1|SMAD2|RCOR1|CASP6|CDK2|PLK1|SMAD1|PRKACA|CASP3|BMPR1A|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|CTNNB1,10163,10306|10315|10267|10324|10309|10303|10297|10282|10261|10333|10300|10327|10294|10279|10273|10258|10330|10285,3.87E-07,,GO:0019538,0.452870829,0,4.528708289
13,3,WikiPathways,,BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation,3.07E-05,SMAD1|SMAD5|CTNNB1,10163,10282|10258|10285,1.42E-06,,WP3876,0.451286162,0,4.512861625
204,6,GO Biological Process,,Striated muscle cell differentiation,3.20E-05,CASP3|BMPR1A|SKI|CDK1|ACVR1|AKT1,10163,10333|10300|10270|10327|10279|10330,4.20E-07,,GO:0051146,0.449485002,0,4.494850022
105,5,GO Biological Process,,DNA damage checkpoint signaling,3.29E-05,CDK2|TP53|PLK1|E2F1|CDK1,10163,10303|10291|10297|10264|10327,4.36E-07,,GO:0000077,0.44828041,0,4.482804102
7,3,TISSUES,,A-549 cell,3.37E-05,TP53|CASP3|AKT1,10163,10291|10333|10330,3.05E-07,,BTO:0000018,0.44723701,0,4.472370099
7,3,TISSUES,,Hep-G2 cell,3.37E-05,TP53|CASP3|AKT1,10163,10291|10333|10330,3.05E-07,,BTO:0000599,0.44723701,0,4.472370099
2399,15,UniProt Keywords,,Ubl conjugation,3.47E-05,STUB1|SMAD2|RCOR1|TP53|PLK1|CEBPB|SMAD1|SMAD3|MYB|SKI|CDK1|SUMO2|AKT1|MYC|CTNNB1,10163,10315|10267|10324|10291|10297|10312|10282|10252|10288|10270|10327|10273|10330|10318|10285,1.55E-07,,KW-0832,0.445967053,0,4.459670525
8162,25,COMPARTMENTS,,Intracellular membrane-bounded organelle,3.50E-05,CSNK2A1|STUB1|CYP27B1|RBL2|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F1|SKI|E2F4|CDK1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10255|10276|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10288|10264|10270|10321|10327|10273|10258|10330|10318|10285,1.98E-07,,GOCC:0043231,0.445593196,0,4.455931956
518,8,GO Biological Process,,"Transcription, DNA-templated",3.53E-05,SMAD2|CDK2|TP53|CEBPB|SMAD1|E2F1|SKI|CTNNB1,10163,10267|10303|10291|10312|10282|10264|10270|10285,4.71E-07,,GO:0006351,0.445222529,0,4.452225295
347,7,GO Biological Process,,Urogenital system development,3.59E-05,SMAD2|SMAD1|SMAD3|ACVR1|SMAD5|MYC|CTNNB1,10163,10267|10282|10252|10279|10258|10318|10285,4.83E-07,,GO:0001655,0.444490555,0,4.444905551
470,8,COMPARTMENTS,,Centrosome,3.74E-05,CDK2|TP53|PLK1|PRKACA|E2F1|SKI|CDK1|CTNNB1,10163,10303|10291|10297|10261|10264|10270|10327|10285,2.27E-07,,GOCC:0005813,0.44271284,0,4.427128398
